Name,Start,End,Size
entry,0x00100008,0x00100094,140
_exit,0x001000B8,0x001000C0,8
_f_ulltof,0x001000D0,0x001000D8,8
_dpflt,0x00100110,0x00100114,4
_dpfgt,0x00100130,0x00100134,4
_dpfge,0x00100150,0x00100154,4
mwInit,0x00100180,0x00100184,4
mwBload,0x001001C0,0x001001C4,4
mwLoadOverlay,0x001002C0,0x001002C4,4
InitFirst__6ccHeapFv,0x00100370,0x00100378,8
SearchFree__10ccHeapFreeFUi,0x00100500,0x0010059C,156
AddTbl__10ccHeapFreeFUi,0x001005A0,0x001006B8,280
_ccMalloc__FUiUiUii,0x001006C0,0x001006C4,4
_ccFree__FPv,0x00100960,0x00100964,4
ccMemReduce__FPvUi,0x00100B00,0x00100B08,8
ccMalloc__FUi,0x00100C20,0x00100C34,20
ccMallocB__FUi,0x00100C40,0x00100C54,20
ccMemalign__FUiUi,0x00100C60,0x00100C6C,12
ccMemalignB__FUiUi,0x00100C70,0x00100C7C,12
ccFree__FPv,0x00100C80,0x00100C88,8
__nw__FUi,0x00100C90,0x00100CA4,20
__dl__FPv,0x00100CB0,0x00100CB8,8
ccPrtChunkName__FP12ccChunkIndex,0x00100CC0,0x00100CC8,8
MenuFunc__13ccSysMenuItemFv,0x00100CD0,0x00100CD8,8
MenuFunc__18ccSysMenuItemOnOffFv,0x00100E20,0x00100E28,8
MenuFunc__17ccSysMenuItemPushFv,0x00100FC0,0x00100FC8,8
MenuFunc__16ccSysMenuItemSelFv,0x00101140,0x00101148,8
MenuFunc__9ccSysMenuFv,0x00101310,0x00101314,4
MenuFunc__12ccSysSubMenuFv,0x00101480,0x00101488,8
ccCmpChunkName__FPCcPCc,0x001017B0,0x001017B1,1
ccCmpChunkPathName__FPCcPCcP12ccChunkIndexi,0x00101820,0x00101821,1
ccSetSearchChunkName__FR17ccSearchChunkNamePCc,0x001019D0,0x00101A4C,124
ccGetExternalIndex__FPC12ccChunkIndex,0x00101A50,0x00101AA0,80
ccGetExternalCCSIndex__FPC12ccChunkIndex,0x00101AA0,0x00101AC8,40
ccMatchIndex__FRC17ccSearchChunkNamePC12ccChunkIndex,0x00101AD0,0x00101AD8,8
Reset__19ccChunkSearchResultFUs,0x00101C20,0x00101C24,4
SetTbl__19ccChunkSearchResultFP12ccChunkBasis,0x00101C90,0x00101C98,8
Reset__19ccSubstSearchResultFUs,0x00101DB0,0x00101DB4,4
SetTbl__19ccSubstSearchResultFPvUs,0x00101E20,0x00101E24,4
ccSetViewScreenClipMatrix__FPA4_fPA4_fPA4_ffffffffff,0x00101F60,0x00101F64,4
ccRotate__FRff,0x00102190,0x00102228,152
ccMatchStr2__FPCcPCcPCci,0x00102230,0x001022B0,24
ccMatchStr__FPCcPCc,0x001022C0,0x001022C4,4
SetAnalogStick__FPfPUcii,0x00102390,0x00102394,4
Init__5ccPadFUcUc,0x00102500,0x0010267C,380
Ctrl__5ccPadFv,0x00102680,0x00102688,8
SetActuater__5ccPadFiii,0x00102BF0,0x00102D34,324
Read__5ccPadFv,0x00102D40,0x00102D44,4
ccPadThread__FP6ccTscb,0x00103210,0x00103218,8
ccGetTexBuffSizeSub__FUcUsUs,0x00103410,0x001036F4,720
ccGetTexTransSize__FUcUsUs,0x00103700,0x001037B0,176
ccGetTexTransW__FUcUs,0x001037B0,0x001037FC,76
__ct__13ccFrameBufferFv,0x00103800,0x001038C4,196
ccGetBuffAdrs__FUcss,0x001038D0,0x001039A8,216
ccGetPageAdrs__FUcss,0x00103A60,0x00103A6C,12
Init__12ccDrawPacketFi,0x00103B10,0x00103B18,8
UnifyFreeWorkAll__12ccDrawPacketFv,0x00103BC0,0x00103CD0,272
GetFreeWork__12ccDrawPacketFiRP15ccDrawPacketTag,0x00103CD0,0x00103D8C,188
SearchFreeWork__12ccDrawPacketFiRP15ccDrawPacketTagi,0x00103D90,0x00103D94,4
__ct__16ccDrawPacketCtrlFv,0x00103E80,0x00103EB0,48
GetWork__16ccDrawPacketCtrlFi,0x00103EB0,0x00103EB4,4
Init__9ccBltDataFUcUcUsUs,0x00103F70,0x00103F78,8
MakePacketLoadDataSub__9ccBltDataFP7ccLayeriP10_sceDmaTag,0x00104120,0x00104124,4
MakePacketLoadDataSub__9ccBltDataFP7ccLayerP10_sceDmaTag,0x001041B0,0x001041B4,4
